,Close,High,Low,Open,Volume,date,totalVolume_less_than_0_01,addressesCount_less_than_0_01,totalVolume_f_0_01_to_0_1,addressesCount_f_0_01_to_0_1,totalVolume_f_0_1_to_1_x,addressesCount_f_0_1_to_1_x,totalVolume_f_0_1_to_1_y,addressesCount_f_0_1_to_1_y,totalVolume_f_0_1_to_1,addressesCount_f_0_1_to_1,totalVolume_f_1_to_10,addressesCount_f_1_to_10,totalVolume_f_10_to_100,addressesCount_f_10_to_100,totalVolume_f_100_to_1000,addressesCount_f_100_to_1000,totalVolume_f_1000_to_10000,addressesCount_f_1000_to_10000,totalVolume_f_10000_to_100000,addressesCount_f_10000_to_100000
784,8170.65,8508.4,8010.7,8499.53,4825.65562506,2019-11-18,29985.790172369998,20489359.0,156836.98035759,4874284.0,639348.23456233,2018952.0,639348.23456233,2018952.0,639348.23456233,2018952.0,1661216.09352398,630384.0,3053379.70723913,109332.0,3573108.5199203,14070.0,4863741.36133608,2045.0,2410333.86126611,107.0
785,8121.63,8197.77,7989.15,8176.9,4412.39464174,2019-11-19,29936.90922976,20447081.0,156644.59341484,4867795.0,638775.08083875,2016262.0,638775.08083875,2016262.0,638775.08083875,2016262.0,1662321.14450576,630725.0,3046765.74320043,109295.0,3569005.11836838,14063.0,4857691.26525062,2041.0,2413648.19356935,107.0
786,8088.44,8231.04,8027.28,8124.08,2996.00619203,2019-11-20,30007.8395292,20489412.0,156523.53135493,4860605.0,638867.04137343,2016283.0,638867.04137343,2016283.0,638867.04137343,2016283.0,1657466.74702406,629269.0,3038085.12891558,108968.0,3563559.91402561,14050.0,4861646.82324279,2044.0,2415406.02291229,107.0
787,7611.51,8116.92,7394.09,8085.54,9374.99957046,2019-11-21,29989.161426839997,20501610.0,156541.16825053,4853992.0,639457.55527296,2018655.0,639457.55527296,2018655.0,639457.55527296,2018655.0,1658460.25766127,629731.0,3023047.34230719,108364.0,3563297.1858016,14074.0,4861555.91129563,2042.0,2415926.96626187,107.0
788,7285.85,7714.7,6785.0,7612.23,20120.14646602,2019-11-22,29995.33987999,20524941.0,156735.47983674,4855158.0,640678.2813666,2022738.0,640678.2813666,2022738.0,640678.2813666,2022738.0,1652885.10171078,628311.0,3012388.97628704,107907.0,3583337.65892319,14101.0,4834372.42348721,2030.0,2424532.28658634,108.0
789,7320.39,7356.49,7102.16,7276.21,5550.47222776,2019-11-23,30057.781433,20544288.0,156997.48811645,4865677.0,639531.08427763,2019590.0,639531.08427763,2019590.0,639531.08427763,2019590.0,1646900.53638586,629206.0,3012640.47326699,107833.0,3591950.12969577,14124.0,4851682.81625413,2029.0,2407327.73864806,106.0
790,6908.36,7349.68,6861.96,7330.98,6047.01776023,2019-11-24,30151.28272351,20584603.0,157306.73352043,4877888.0,640295.52117854,2021919.0,640295.52117854,2021919.0,640295.52117854,2021919.0,1648481.64876562,629818.0,3013710.556708,107850.0,3599503.28266648,14148.0,4826681.10933227,2028.0,2422595.41318304,107.0
791,7122.14,7380.0,6515.0,6900.9,18716.60131311,2019-11-25,30215.73527814,20603303.0,157625.20141059,4886919.0,641852.03994962,2026858.0,641852.03994962,2026858.0,641852.03994962,2026858.0,1650710.72391863,630797.0,3018964.23019974,108074.0,3596081.86709982,14158.0,4796771.58458452,2020.0,2448066.66563683,108.0
792,7159.22,7344.91,7018.78,7127.12,7643.84956815,2019-11-26,30208.54900692,20618275.0,157810.18096387,4886663.0,642387.39842357,2027720.0,642387.39842357,2027720.0,642387.39842357,2027720.0,1652166.6234054,631281.0,3020849.8745378,108174.0,3593799.98728146,14166.0,4807598.98968998,2024.0,2436991.44476889,107.0
793,7527.84,7676.27,6847.72,7168.74,15156.9919345,2019-11-27,30132.369884300002,20573981.0,157870.72804602,4888503.0,642981.67624713,2028749.0,642981.67624713,2028749.0,642981.67624713,2028749.0,1651083.5345851,628792.0,3025812.38589722,108510.0,3573900.51213376,14042.0,4787333.74496401,2011.0,2459435.59632035,108.0
794,7436.72,7659.92,7372.19,7517.82,6925.58489749,2019-11-28,30211.2244572,20607095.0,157896.52315504,4891462.0,642798.49674741,2027538.0,642798.49674741,2027538.0,642798.49674741,2027538.0,1650904.04930723,628665.0,3023960.91034696,108465.0,3576695.42011499,14041.0,4789209.73524221,2011.0,2458911.68870685,108.0
795,7753.69,7870.35,7411.17,7429.32,7658.87160206,2019-11-29,30180.5268019,20623532.0,158269.80157428,4903092.0,644060.52216402,2031327.0,644060.52216402,2031327.0,644060.52216402,2031327.0,1644494.07559435,626946.0,3010230.73623515,107753.0,3580258.67295172,14059.0,4782675.44701383,2016.0,2467718.26574264,109.0
796,7550.67,7815.0,7452.08,7753.69,5446.27351349,2019-11-30,30201.67353283,20637463.0,158501.90488632,4909679.0,644499.4657438,2033263.0,644499.4657438,2033263.0,644499.4657438,2033263.0,1638867.21059321,623252.0,3011437.75127718,107766.0,3592127.04615499,14096.0,4787086.10386668,2014.0,2456741.89202288,108.0
797,7412.66,7560.2,7233.87,7560.2,5477.97290774,2019-12-01,30286.64608745,20670289.0,158887.84561883,4923213.0,645233.85166781,2035556.0,645233.85166781,2035556.0,645233.85166781,2035556.0,1640993.77689241,623963.0,3014112.69811848,107815.0,3592724.20539214,14106.0,4781532.49064051,2012.0,2457429.03366026,108.0
798,7309.64,7431.07,7140.08,7411.75,4324.30016255,2019-12-02,30355.4012935,20697793.0,158782.90621213,4921872.0,645952.41711828,2036935.0,645952.41711828,2036935.0,645952.41711828,2036935.0,1643227.61064903,624334.0,3017722.0358693,107797.0,3592619.86858593,14123.0,4795587.49072757,2016.0,2438765.31762215,106.0
